Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Team,Year
27,2024-04-27,boxscore,COL,,HOU,L,4,12,,7-20,5,10.0,Blanco,Quantrill,,3:09,N,19934,.32,-,,COL,2024
28,2024-04-28,boxscore,COL,,HOU,L,2,8,,7-21,5,10.0,Valdez,Gomber,,2:23,D,19841,.27,--,,COL,2024
29,2024-04-30,boxscore,COL,@,MIA,L,6,7,10,7-22,5,10.5,Scott,Beeks,,2:41,N,6706,.28,---,,COL,2024
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,COL,2024
30,2024-05-01,boxscore,COL,@,MIA,L,1,4,,7-23,5,11.5,MuÃ±oz,Hudson,Maldonado,2:20,N,7171,.25,----,,COL,2024
31,2024-05-02,boxscore,COL,@,MIA,L,4,5,10,7-24,5,12.0,Smith,Lawrence,,2:57,D,7540,.20,-----,,COL,2024
32,2024-05-03,boxscore,COL,@,PIT,W,3,2,,8-24,5,12.0,Quantrill,PÃ©rez,Beeks,2:36,N,20646,.19,+,,COL,2024
33,2024-05-04,boxscore,COL,@,PIT,L,0,1,,8-25,5,13.0,Bednar,Mears,,2:13,D,24149,.22,-,,COL,2024
34,2024-05-05,boxscore,COL,@,PIT,L,3,5,,8-26,5,14.0,Ortiz,Feltner,Bednar,2:18,D,12912,.20,--,,COL,2024
35,2024-05-07,boxscore,COL,,SFG,L,0,5,,8-27,5,15.5,Harrison,Hudson,,2:31,N,21259,.17,---,,COL,2024
36,2024-05-08,boxscore,COL,,SFG,L,6,8,,8-28,5,16.5,Hicks,Lambert,,2:46,N,20532,.14,----,,COL,2024
37,2024-05-09,boxscore,COL,,SFG,W,9,1,,9-28,5,16.0,Quantrill,Winn,,2:20,D,23870,.11,+,,COL,2024
38,2024-05-10,boxscore,COL,,TEX,W,4,2,,10-28,5,15.0,Bird,Anderson,Beeks,2:21,N,32693,.11,++,,COL,2024
39,2024-05-11,boxscore,COL,,TEX,W,8,3,,11-28,5,15.0,Kinley,Robertson,,2:48,N,37527,.12,+++,,COL,2024
40,2024-05-12,boxscore,COL,,TEX,W,3,1,,12-28,5,14.0,Blach,UreÃ±a,Beeks,2:25,D,35107,.15,++++,,COL,2024
41,2024-05-13,boxscore,COL,@,SDP,W,5,4,,13-28,5,14.0,Hudson,VÃ¡squez,Beeks,2:44,N,34458,.20,+++++,,COL,2024
42,2024-05-14,boxscore,COL,@,SDP,W,6,3,,14-28,5,14.0,Quantrill,Cease,Kinley,2:39,N,40134,.22,++++++,,COL,2024
43,2024-05-15,boxscore,COL,@,SDP,W,8,0,,15-28,5,13.0,Gomber,King,,2:26,D,33951,.25,+++++++,,COL,2024
44,2024-05-17,boxscore,COL,@,SFG,L,5,10,,15-29,5,13.5,Hjelle,Feltner,,3:01,N,32025,.29,-,,COL,2024
45,2024-05-18,boxscore,COL,@,SFG,L,4,14,,15-30,5,14.5,Harrison,Blach,,2:47,D,31098,.26,--,,COL,2024
46,2024-05-19,boxscore,COL,@,SFG,L,1,4,,15-31,5,15.5,Hicks,Hudson,Doval,2:26,D,34766,.23,---,,COL,2024
47,2024-05-21,boxscore,COL,@,OAK,L,4,5,,15-32,5,16.0,Erceg,Kinley,Miller,2:17,N,4005,.18,----,,COL,2024
48,2024-05-22,boxscore,COL,@,OAK,W,4,3,12,16-32,5,15.0,Mears,Muller,Koch,3:09,N,3617,.15,+,,COL,2024
49,2024-05-23,boxscore,COL,@,OAK,L,9,10,11,16-33,5,15.5,Bielak,Lambert,,3:12,D,6886,.17,-,,COL,2024
50,2024-05-24,boxscore,COL,,PHI,W,3,2,11,17-33,5,14.5,Kinley,Soto,,2:47,N,35007,.15,+,,COL,2024
51,2024-05-25,boxscore,COL,,PHI,L,4,8,,17-34,5,14.5,Ruiz,Lawrence,,2:59,N,37535,.18,-,,COL,2024
52,2024-05-26,boxscore,COL,,PHI,W,5,2,,18-34,5,13.5,Quantrill,SuÃ¡rez,Kinley,2:22,D,47442,.13,+,,COL,2024
53,2024-05-27,boxscore,COL,,CLE,W,8,6,,19-34,5,13.0,Rogers,Curry,Beeks,2:42,D,35122,.16,++,,COL,2024
54,2024-05-28,boxscore,COL,,CLE,L,7,13,,19-35,5,14.5,Smith,Lambert,,2:55,N,21009,.20,-,,COL,2024
55,2024-05-29,boxscore,COL,,CLE,W,7,4,,20-35,5,14.5,Blach,Allen,,2:29,N,21374,.15,+,,COL,2024
56,2024-05-31,boxscore,COL,@,LAD,W,4,1,,21-35,5,13.5,Hudson,Buehler,Beeks,2:20,N,47542,.20,++,,COL,2024
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,COL,2024
57,2024-06-01,boxscore,COL,@,LAD,L,1,4,,21-36,5,14.5,Yamamoto,Quantrill,Phillips,2:41,N,50182,.26,-,,COL,2024
58,2024-06-02,boxscore,COL,@,LAD,L,0,4,,21-37,5,15.5,Stone,Gomber,,2:29,D,48251,.20,--,,COL,2024
59,2024-06-03,boxscore,COL,,CIN,L,3,13,,21-38,5,16.0,Abbott,Feltner,,2:30,N,25140,.17,---,,COL,2024
60,2024-06-04,boxscore,COL,,CIN,L,1,4,,21-39,5,16.0,Montas,Blach,,2:22,N,25315,.15,----,,COL,2024
61,2024-06-05,boxscore,COL,,CIN,L,7,12,,21-40,5,16.0,Cruz,Beeks,,3:12,D,27022,.13,-----,,COL,2024
62,2024-06-06,boxscore,COL,@,STL,W,3,2,,22-40,5,16.0,Quantrill,Gray,Kinley,2:59,N,33332,.10,+,,COL,2024
63,2024-06-07,boxscore,COL,@,STL,L,5,8,,22-41,5,17.0,Romero,Carasiti,Helsley,2:59,N,35229,.12,-,,COL,2024
64,2024-06-08,boxscore,COL,@,STL,W,6,5,,23-41,5,17.0,Vodnik,Kittredge,Kinley,2:31,D,34577,.09,+,,COL,2024
65,2024-06-09,boxscore,COL,@,STL,L,1,5,,23-42,5,17.0,Pallante,Blach,,2:15,D,40219,.11,-,,COL,2024
66,2024-06-10,boxscore,COL,@,MIN,L,0,5,,23-43,5,17.5,Paddack,Hudson,,2:09,N,19901,.09,--,,COL,2024
67,2024-06-11,boxscore,COL,@,MIN,W,5,4,,24-43,5,17.5,Quantrill,Thielbar,Kinley,2:35,N,21998,.06,+,,COL,2024
68,2024-06-12,boxscore,COL,@,MIN,L,9,17,,24-44,5,17.5,LÃ³pez,Gomber,,3:08,D,18875,.09,-,,COL,2024
69,2024-06-14,boxscore,COL,,PIT,L,2,5,,24-45,5,18.0,Ortiz,Feltner,,2:34,N,31717,.07,--,,COL,2024
70,2024-06-15,boxscore,COL,,PIT,W,16,4,,25-45,5,17.0,Blach,Jones,,2:43,N,40033,.05,+,,COL,2024
71,2024-06-16,boxscore,COL,,PIT,L,2,8,,25-46,5,18.0,Mlodzinski,Hudson,,2:45,D,40422,.07,-,,COL,2024
72,2024-06-17,boxscore,COL,,LAD,L,5,9,,25-47,5,19.0,Paxton,Quantrill,,2:44,N,32021,.05,--,,COL,2024
73,2024-06-18,boxscore,COL,,LAD,L,9,11,,25-48,5,20.0,Petersen,Vodnik,Phillips,2:55,N,33791,.03,---,,COL,2024
74,2024-06-19,boxscore,COL,,LAD,W,7,6,,26-48,5,19.0,Beeks,RamÃ­rez,,2:30,N,37503,.03,+,,COL,2024
75,2024-06-20,boxscore,COL,,LAD,L,3,5,,26-49,5,20.0,Stone,Blach,Phillips,2:34,D,40236,.03,-,,COL,2024
76,2024-06-21,boxscore,COL,,WSN,L,5,11,,26-50,5,20.0,Floro,Hudson,,2:59,N,31935,.02,--,,COL,2024
77,2024-06-22,boxscore,COL,,WSN,W,8,7,,27-50,5,20.0,Beeks,Finnegan,,2:49,N,34509,.02,+,,COL,2024
78,2024-06-23,boxscore,COL,,WSN,L,1,2,,27-51,5,20.5,Floro,Beeks,Finnegan,2:16,D,30407,.02,-,,COL,2024
79,2024-06-25,boxscore,COL,@,HOU,L,2,5,,27-52,5,22.0,Brown,Gomber,,2:28,N,35976,.01,--,,COL,2024
80,2024-06-26,boxscore,COL,@,HOU,L,1,7,,27-53,5,23.0,Arrighetti,Feltner,,2:31,D,33603,.01,---,,COL,2024
81,2024-06-28,boxscore,COL,@,CHW,L,3,5,,27-54,5,23.0,Thorpe,Hudson,Kopech,2:18,N,24422,.01,----,,COL,2024
82,2024-06-29,boxscore,COL,@,CHW,L,3,11,,27-55,5,24.0,Banks,Quantrill,,2:36,D,21490,.01,-----,,COL,2024
83,2024-06-30,boxscore,COL,@,CHW,W,5,4,14,28-55,5,23.0,Beeks,Soroka,,3:25,D,19334,.00,+,,COL,2024
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,COL,2024
84,2024-07-01,boxscore,COL,,MIL,W,8,7,10,29-55,5,22.5,Kinley,Payamps,,2:48,N,26204,.01,++,,COL,2024
85,2024-07-02,boxscore,COL,,MIL,L,3,4,,29-56,5,23.5,Zastryzny,Mears,Megill,3:22,N,25669,.00,-,,COL,2024
86,2024-07-03,boxscore,COL,,MIL,L,0,3,,29-57,5,23.5,Rea,Hudson,Junis,2:33,N,34177,.01,--,,COL,2024
87,2024-07-04,boxscore,COL,,MIL,W,4,3,,30-57,5,22.5,Molina,Myers,Beeks,2:35,N,48705,.00,+,,COL,2024
88,2024-07-05,boxscore,COL,,KCR,W,4,2,,31-57,5,22.5,Vodnik,Schreiber,Beeks,2:27,N,48321,.00,++,,COL,2024
89,2024-07-06,boxscore,COL,,KCR,W,3,1,,32-57,5,22.5,Gomber,Lugo,Vodnik,2:15,N,33748,.00,+++,,COL,2024
90,2024-07-07,boxscore,COL,,KCR,L,1,10,,32-58,5,22.5,Singer,Gordon,,2:18,D,32180,.00,-,,COL,2024
91,2024-07-08,boxscore,COL,@,CIN,L,0,6,,32-59,5,23.0,Abbott,Feltner,,2:20,N,15873,.00,--,,COL,2024
92,2024-07-09,boxscore,COL,@,CIN,L,6,12,,32-60,5,23.0,Martinez,Quantrill,,3:00,N,17542,.00,---,,COL,2024
93,2024-07-10,boxscore,COL,@,CIN,W,6,5,,33-60,5,22.0,Freeland,Montas,Beeks,2:27,N,16836,.00,+,,COL,2024
94,2024-07-11,boxscore,COL,@,CIN,L,1,8,,33-61,5,22.0,Greene,Gomber,,2:38,D,20766,.00,-,,COL,2024
95,2024-07-12,boxscore,COL,@,NYM,L,6,7,,33-62,5,23.0,Manaea,Gordon,DÃ­az,2:49,N,28852,.00,--,,COL,2024
96,2024-07-13,boxscore,COL,@,NYM,L,3,7,,33-63,5,23.0,ButtÃ³,Feltner,NÃºÃ±ez,2:53,D,31029,.00,---,,COL,2024
97,2024-07-14,boxscore,COL,@,NYM,W,8,5,,34-63,5,22.0,Lawrence,Quintana,Vodnik,2:56,D,24970,.00,+,,COL,2024
98,2024-07-19,boxscore,COL,,SFG,W,7,3,,35-63,5,22.0,Beeks,Rogers,,2:45,N,40115,.00,++,,COL,2024
99,2024-07-20,boxscore,COL,,SFG,W,4,3,,36-63,5,22.0,Freeland,Webb,Vodnik,2:14,N,44178,.00,+++,,COL,2024
100,2024-07-21,boxscore,COL,,SFG,L,2,3,,36-64,5,23.0,Birdsong,Feltner,Doval,2:20,D,30507,.00,-,,COL,2024
101,2024-07-22,boxscore,COL,,BOS,W,9,8,12,37-64,5,23.0,Lawrence,Horn,,3:25,N,35261,.00,+,,COL,2024
102,2024-07-23,boxscore,COL,,BOS,L,0,6,,37-65,5,24.0,Criswell,Blach,,2:38,N,36553,.00,-,,COL,2024
103,2024-07-24,boxscore,COL,,BOS,W,20,7,,38-65,5,23.0,Quantrill,Pivetta,,2:51,D,36579,.00,+,,COL,2024
104,2024-07-26,boxscore,COL,@,SFG,L,4,11,,38-66,5,23.5,Harrison,Freeland,,2:33,N,32861,.00,-,,COL,2024
105,,boxscore,COL,@,SFG,L,1,4,,38-67,5,24.0,Walker,Lawrence,Doval,2:25,N,,.00,--,,COL,2024
106,,boxscore,COL,@,SFG,L,0,5,,38-68,5,24.0,Birdsong,Gordon,,2:11,N,34543,.00,---,,COL,2024
107,2024-07-28,boxscore,COL,@,SFG,L,4,5,,38-69,5,25.0,RodrÃ­guez,Gomber,Doval,2:45,D,37178,.00,----,,COL,2024
108,2024-07-30,boxscore,COL,@,LAA,L,7,10,,38-70,5,25.0,Quijada,Bird,Strickland,2:38,N,25241,.00,-----,,COL,2024
109,2024-07-31,boxscore,COL,@,LAA,W,2,1,,39-70,5,24.0,Freeland,Crouse,Vodnik,2:26,N,23658,.00,+,,COL,2024
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,COL,2024
110,2024-08-01,boxscore,COL,@,LAA,W,5,4,10,40-70,5,23.5,Vodnik,Crouse,Kinley,2:38,N,27335,.00,++,,COL,2024
111,2024-08-02,boxscore,COL,@,SDP,W,5,2,,41-70,5,22.5,Gomber,Estrada,Vodnik,2:35,N,44393,.00,+++,,COL,2024
112,2024-08-03,boxscore,COL,@,SDP,L,2,3,,41-71,5,23.5,Adam,Lambert,Suarez,1:59,N,44029,.00,-,,COL,2024
113,2024-08-04,boxscore,COL,@,SDP,L,2,10,,41-72,5,24.5,Waldron,Quantrill,,2:44,D,41828,.00,--,,COL,2024
114,2024-08-06,boxscore,COL,,NYM,W,6,3,,42-72,5,24.0,Lawrence,Severino,Vodnik,2:29,N,30392,.00,+,,COL,2024
115,2024-08-07,boxscore,COL,,NYM,L,3,5,,42-73,5,24.0,ButtÃ³,Vodnik,DÃ­az,2:46,N,30673,.00,-,,COL,2024
116,2024-08-08,boxscore,COL,,NYM,L,1,9,,42-74,5,24.5,Peterson,Gomber,,2:47,D,26379,.00,--,,COL,2024
117,2024-08-09,boxscore,COL,,ATL,W,6,5,,43-74,5,24.5,Kinley,Minter,Vodnik,2:37,N,33028,.00,+,,COL,2024
118,2024-08-10,boxscore,COL,,ATL,L,8,11,,43-75,5,25.5,Johnson,Chivilli,Iglesias,3:01,N,46169,.00,-,,COL,2024
119,2024-08-11,boxscore,COL,,ATL,W,9,8,,44-75,5,25.5,Rogers,JimÃ©nez,Vodnik,3:05,D,40365,.00,+,,COL,2024
120,2024-08-12,boxscore,COL,@,ARI,L,4,5,,44-76,5,26.5,Pfaadt,Molina,Martinez,2:24,N,15525,.00,-,,COL,2024
121,2024-08-13,boxscore,COL,@,ARI,L,3,4,,44-77,5,27.5,Mantiply,Vodnik,,2:31,N,19731,.00,--,,COL,2024
122,2024-08-14,boxscore,COL,@,ARI,L,4,11,,44-78,5,27.5,Montgomery,Gordon,,2:59,D,16464,.00,---,,COL,2024
123,2024-08-16,boxscore,COL,,SDP,W,7,3,,45-78,5,27.0,Quantrill,Waldron,,2:41,N,33054,.00,+,,COL,2024
124,2024-08-17,boxscore,COL,,SDP,L,3,8,,45-79,5,27.0,Cease,Freeland,,2:35,N,47483,.00,-,,COL,2024
125,2024-08-18,boxscore,COL,,SDP,W,3,2,,46-79,5,27.0,Chivilli,Hoeing,Vodnik,2:55,D,26027,.00,+,,COL,2024
126,2024-08-20,boxscore,COL,@,WSN,W,3,1,,47-79,5,27.5,Gomber,Herz,Chivilli,2:21,N,16433,.00,++,,COL,2024
127,2024-08-21,boxscore,COL,@,WSN,L,1,6,,47-80,5,28.5,Parker,Gordon,,2:16,N,18847,.00,-,,COL,2024
128,2024-08-22,boxscore,COL,@,WSN,L,3,8,,47-81,5,29.0,Corbin,Quantrill,,2:39,D,18349,.00,--,,COL,2024
129,2024-08-23,boxscore,COL,@,NYY,L,0,3,,47-82,5,30.0,RodÃ³n,Freeland,Holmes,2:23,N,38910,.00,---,,COL,2024
130,2024-08-24,boxscore,COL,@,NYY,W,9,2,,48-82,5,29.0,Blalock,Warren,,3:00,D,40438,.00,+,,COL,2024
131,2024-08-25,boxscore,COL,@,NYY,L,3,10,,48-83,5,30.0,Stroman,Gomber,,2:55,D,41324,.00,-,,COL,2024
132,2024-08-26,boxscore,COL,,MIA,W,3,2,,49-83,5,29.5,Bird,Cabrera,Kinley,2:28,N,20338,.00,+,,COL,2024
133,2024-08-27,boxscore,COL,,MIA,L,8,9,,49-84,5,29.5,Soriano,Chivilli,Faucher,2:48,N,20284,.00,-,,COL,2024
134,2024-08-28,boxscore,COL,,MIA,W,8,2,,50-84,5,29.5,Freeland,Meyer,,2:41,N,20526,.00,+,,COL,2024
135,2024-08-29,boxscore,COL,,MIA,L,8,12,,50-85,5,30.5,Tinoco,Blalock,,2:58,D,20949,.00,-,,COL,2024
136,2024-08-30,boxscore,COL,,BAL,L,3,5,,50-86,5,31.5,SuÃ¡rez,Gomber,DomÃ­nguez,2:30,N,30444,.00,--,,COL,2024
137,2024-08-31,boxscore,COL,,BAL,W,7,5,,51-86,5,31.5,Criswell,Kimbrel,Kinley,2:52,N,38166,.00,+,,COL,2024
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,COL,2024
138,2024-09-01,boxscore,COL,,BAL,L,1,6,,51-87,5,31.5,Eflin,Blach,,2:22,D,32961,.00,-,,COL,2024
139,2024-09-03,boxscore,COL,@,ATL,L,0,3,,51-88,5,33.0,Sale,Freeland,Iglesias,2:31,N,32672,.00,--,,COL,2024
140,2024-09-04,boxscore,COL,@,ATL,L,2,5,,51-89,5,33.0,Morton,Blalock,Iglesias,2:40,N,36859,.00,---,,COL,2024
141,2024-09-05,boxscore,COL,@,ATL,W,3,1,,52-89,5,32.5,Gomber,LÃ³pez,Kinley,2:09,N,32811,.00,+,,COL,2024
142,2024-09-06,boxscore,COL,@,MIL,W,3,2,,53-89,5,31.5,Feltner,Montas,Kinley,2:25,N,26582,.00,++,,COL,2024
143,2024-09-07,boxscore,COL,@,MIL,L,2,5,,53-90,5,32.5,Myers,Blach,Williams,2:16,N,33603,.00,-,,COL,2024
Gm#,,,Tm,,Opp,,,,,,,,,,,,,,D/N,cLI,Orig. Scheduled,COL,2024
Gm#,,,Tm,,Opp,,,,,,,,,,,,,,D/N,cLI,Orig. Scheduled,COL,2024
1,2020-07-24,boxscore,DET,@,CIN,L,1,7,,0-1,3,1.0,Gray,Boyd,,2:45,N,,1.06,-,,DET,2020
2,2020-07-25,boxscore,DET,@,CIN,W,6,4,,1-1,1,Tied,Farmer,Iglesias,JimÃ©nez,3:01,N,,1.04,+,,DET,2020
3,2020-07-26,boxscore,DET,@,CIN,W,3,2,,2-1,1,Tied,Cisnero,Lorenzen,JimÃ©nez,3:04,D,,1.10,++,,DET,2020
4,2020-07-27,boxscore,DET,,KCR,L,6,14,,2-2,3,0.5,Griffin,Funkhouser,,3:20,N,,1.19,-,,DET,2020
5,2020-07-28,boxscore,DET,,KCR,W,4,3,,3-2,3,1.0,Alexander,Zuber,JimÃ©nez,2:25,N,,1.19,+,,DET,2020
6,2020-07-29,boxscore,DET,,KCR,W,5,4,,4-2,2,0.5,Garcia,Kennedy,JimÃ©nez,2:40,N,,1.21,++,,DET,2020
7,2020-07-30,boxscore,DET,,KCR,L,3,5,,4-3,3,1.0,Holland,Cisnero,Rosenthal,2:49,N,,1.23,-,,DET,2020
8,2020-07-31,boxscore,DET,,CIN,W,7,2,,5-3,2,0.5,Turnbull,Castillo,,2:31,N,,1.12,+,,DET,2020
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,DET,2020
9,,boxscore,DET,,CIN,L,3,4,7,5-4,3,2.5,Iglesias,JimÃ©nez,,2:25,D,,1.12,-,2020-08-01 (Rain; (Game2)),DET,2020
10,,boxscore,DET,,CIN,L,0,4,7,5-5,3,2.5,Bauer,Norris,,2:36,D,,1.12,--,,DET,2020
11,2020-08-07,boxscore,DET,@,PIT,W,17,13,11,6-5,3,2.5,Garcia,Neverauskas,,4:33,N,,1.12,+,,DET,2020
12,2020-08-08,boxscore,DET,@,PIT,W,11,5,,7-5,2,1.5,Nova,Holland,,3:22,D,,1.14,++,,DET,2020
13,2020-08-09,boxscore,DET,@,PIT,W,2,1,,8-5,2,0.5,Turnbull,RodrÃ­guez,JimÃ©nez,2:45,D,,1.14,+++,,DET,2020
14,2020-08-10,boxscore,DET,,CHW,W,5,1,,9-5,2,0.5,Norris,Keuchel,,2:47,N,,1.25,++++,,DET,2020
15,2020-08-11,boxscore,DET,,CHW,L,4,8,,9-6,2,0.5,Foster,Alexander,,2:51,N,,1.23,-,,DET,2020
16,2020-08-12,boxscore,DET,,CHW,L,5,7,,9-7,2,1.5,Cease,Boyd,ColomÃ©,3:12,D,,1.29,--,,DET,2020
17,2020-08-14,boxscore,DET,,CLE,L,5,10,,9-8,3,2.0,Civale,Nova,,2:55,N,,1.39,---,,DET,2020
18,2020-08-15,boxscore,DET,,CLE,L,1,3,,9-9,3,2.5,Bieber,Turnbull,Hand,3:12,N,,1.43,----,,DET,2020
19,2020-08-16,boxscore,DET,,CLE,L,5,8,,9-10,4,3.5,PÃ©rez,Schreiber,,3:26,D,,1.40,-----,,DET,2020
20,2020-08-17,boxscore,DET,@,CHW,L,2,7,,9-11,4,4.5,Heuer,Boyd,,3:12,N,,1.34,------,,DET,2020
21,2020-08-18,boxscore,DET,@,CHW,L,4,10,,9-12,4,5.5,Cease,Skubal,,3:00,N,,1.29,-------,,DET,2020
22,2020-08-19,boxscore,DET,@,CHW,L,3,5,,9-13,4,5.5,Marshall,Soto,ColomÃ©,2:31,N,,1.19,--------,,DET,2020
23,2020-08-20,boxscore,DET,@,CHW,L,0,9,,9-14,4,6.5,Giolito,Turnbull,,2:56,D,,1.08,---------,,DET,2020
24,2020-08-21,boxscore,DET,@,CLE,W,10,5,,10-14,4,5.5,GarcÃ­a,Plutko,,3:18,N,,.88,+,,DET,2020
25,2020-08-22,boxscore,DET,@,CLE,L,1,6,,10-15,4,6.5,McKenzie,Boyd,,2:37,N,,1.04,-,,DET,2020
26,2020-08-23,boxscore,DET,@,CLE,W,7,4,,11-15,4,6.5,Norris,Carrasco,,3:22,D,,.88,+,,DET,2020
27,2020-08-24,boxscore,DET,,CHC,L,3,9,,11-16,4,7.5,Mills,Mize,,3:01,N,,.98,-,,DET,2020
28,2020-08-25,boxscore,DET,,CHC,W,7,1,,12-16,4,6.5,Turnbull,Chatwood,,3:13,N,,.83,+,,DET,2020
29,2020-08-26,boxscore,DET,,CHC,W,7,6,,13-16,4,5.5,JimÃ©nez,Tepera,,3:23,N,,.94,++,,DET,2020
30,,boxscore,DET,,MIN,W,8,2,7,14-16,4,5.0,Boyd,Dobnak,,2:11,D,,1.14,+++,2020-08-27 (Boycott (racial justice); (Game2)),DET,2020
31,,boxscore,DET,,MIN,W,4,2,7,15-16,4,5.0,Skubal,Duffey,Soto,2:12,D,,1.30,++++,,DET,2020
32,2020-08-30,boxscore,DET,,MIN,W,3,2,,16-16,4,4.0,Alexander,Maeda,Soto,2:41,D,,1.41,+++++,,DET,2020
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,DET,2020
33,2020-09-01,boxscore,DET,@,MIL,W,12,1,,17-16,4,3.5,Norris,Lindblom,,3:34,N,,1.42,++++++,,DET,2020
34,2020-09-02,boxscore,DET,@,MIL,L,5,8,,17-17,4,4.5,Yardley,JimÃ©nez,Hader,3:20,N,,1.50,-,,DET,2020
35,,boxscore,DET,@,MIN,L,0,2,7,17-18,4,5.5,Dobnak,Boyd,Rogers,1:45,D,,1.56,--,2020-08-28 (Rain; Played at MIN; DET batted last (Game2)),DET,2020
36,,boxscore,DET,@,MIN,L,2,3,8,17-19,4,5.5,Romo,JimÃ©nez,May,2:57,D,,1.50,---,,DET,2020
37,2020-09-05,boxscore,DET,@,MIN,L,3,4,,17-20,4,6.5,AlcalÃ¡,Cisnero,,2:52,N,,1.33,----,,DET,2020
38,2020-09-06,boxscore,DET,@,MIN,W,10,8,,18-20,4,6.5,Funkhouser,Romo,Garcia,3:43,D,,1.14,+,,DET,2020
39,2020-09-07,boxscore,DET,@,MIN,L,2,6,,18-21,4,7.0,Pineda,Fulmer,,2:44,D,,1.32,-,,DET,2020
40,2020-09-08,boxscore,DET,,MIL,W,8,3,,19-21,4,6.0,Turnbull,Houser,,3:05,N,,1.06,+,,DET,2020
41,2020-09-09,boxscore,DET,,MIL,L,0,19,,19-22,4,7.0,Burnes,Boyd,,3:04,D,,1.25,-,,DET,2020
42,,boxscore,DET,@,STL,L,2,12,7,19-23,4,7.0,Flaherty,Skubal,,2:34,D,,1.10,--,2020-08-05 (Covid; (Game1)),DET,2020
43,,boxscore,DET,@,STL,W,6,3,7,20-23,4,7.0,Cisnero,Gallegos,Garcia,2:40,D,,.87,+,2020-08-06 (Covid; (Game2)),DET,2020
44,2020-09-11,boxscore,DET,@,CHW,L,3,4,,20-24,4,8.0,Marshall,Cisnero,ColomÃ©,3:02,N,,1.15,-,,DET,2020
45,2020-09-12,boxscore,DET,@,CHW,L,0,14,,20-25,4,9.0,LÃ³pez,Fulmer,,3:02,N,,.87,--,,DET,2020
46,2020-09-13,boxscore,DET,@,CHW,L,2,5,,20-26,4,10.0,Cordero,Turnbull,ColomÃ©,3:08,D,,.55,---,,DET,2020
47,2020-09-15,boxscore,DET,,KCR,W,6,0,,21-26,4,10.5,Boyd,Junis,,3:27,N,,.32,+,,DET,2020
48,2020-09-16,boxscore,DET,,KCR,L,0,4,,21-27,4,10.5,Singer,Skubal,,2:33,N,,.49,-,,DET,2020
49,2020-09-17,boxscore,DET,,CLE,L,3,10,,21-28,4,11.5,Bieber,Mize,,3:04,N,,.38,--,,DET,2020
50,2020-09-18,boxscore,DET,,CLE,L,0,1,,21-29,4,11.5,Plesac,Alexander,Hand,3:33,N,,.13,---,,DET,2020
51,2020-09-19,boxscore,DET,,CLE,W,5,2,,22-29,4,11.5,Cisnero,Maton,Garcia,3:00,N,,.05,+,,DET,2020
52,2020-09-20,boxscore,DET,,CLE,L,4,7,,22-30,4,11.5,Carrasco,Boyd,,2:59,D,,.10,-,,DET,2020
53,2020-09-22,boxscore,DET,@,MIN,L,4,5,10,22-31,4,11.0,Rogers,Garcia,,3:43,N,,.00,--,,DET,2020
54,2020-09-23,boxscore,DET,@,MIN,L,6,7,,22-32,4,11.5,Maeda,Mize,Romo,3:16,N,,.00,---,,DET,2020
55,2020-09-24,boxscore,DET,@,KCR,L,7,8,,22-33,5,12.0,Hahn,Alexander,Newberry,3:22,N,,.00,----,,DET,2020
56,2020-09-25,boxscore,DET,@,KCR,L,2,3,,22-34,5,12.0,Keller,Turnbull,Hahn,2:50,N,,.00,-----,,DET,2020
57,2020-09-26,boxscore,DET,@,KCR,W,4,3,,23-34,5,12.0,Boyd,HernÃ¡ndez,Garcia,3:00,N,,.00,+,,DET,2020
58,2020-09-27,boxscore,DET,@,KCR,L,1,3,,23-35,5,12.0,Singer,Skubal,Hahn,2:27,D,,.00,-,,DET,2020
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,DET,2020
1,2021-04-01,boxscore,DET,,CLE,W,3,2,,1-0,1,Tied,Boyd,Bieber,Soto,3:03,D,8000,1.04,+,,DET,2021
